StonePlantMound2,-16939,-16927,-16309,-16296
WoodWallRemains,-17027,-16999,-16331,-16323
StonePlantBoulder,-17012,-17002,-16355,-16345
StonePlantMound1,-16965,-16959,-16216,-16210
MonolythHoly,-16950,-16936,-16372,-16358
RLCraft_SmallUndergroundSkeleton,-17005,-16997,-16365,-16357
StoneBoulder,-17094,-17085,-16308,-16299
RLCraft_SmallUndergroundSkeleton,-16974,-16966,-16164,-16156
StonePlantMound1,-17067,-17061,-16199,-16193
StoneBoulder,-17121,-17112,-16314,-16305
StonePlantBoulder,-17387,-17377,-16318,-16308
StonePlantMound4,-17399,-17392,-16290,-16283
StonePlantBoulder,-17333,-17323,-16342,-16332
StoneLeafMound,-17300,-17293,-16299,-16290
StonePlantMound4,-16971,-16964,-16145,-16138
StoneBoulder,-17028,-17019,-16171,-16162
RLCraft_SmallUndergroundSkeleton,-16932,-16924,-16153,-16145
StonePlantMound2,-17089,-17076,-16162,-16150
HobbitHole,-16995,-16923,-16169,-16072
ShrineSmallFire,-17132,-17122,-16266,-16256
MesoMazeCorridorCollapse,-17159,-17154,-16187,-16185
MesoMazeGrowth,-17147,-17142,-16193,-16188
MesoMazePath,-17153,-17151,-16187,-16185
MesoMazeGrowth,-17156,-17151,-16184,-16179
MesoMazeSpiderTurn,-17150,-17145,-16190,-16185
MesoMazeSpiderTurn,-17165,-17160,-16187,-16182
MesoMazeGrowth,-17159,-17154,-16184,-16179
MesoMazeSpiderTurn,-17165,-17160,-16190,-16185
MesoMazePath,-17153,-17151,-16190,-16188
MesoMazeSpiderTurn,-17150,-17145,-16184,-16179
MesoMazeGrowth,-17162,-17157,-16196,-16191
MesoMazeStairCorridor,-17141,-17136,-16193,-16191
MesoMazeStairTurn,-17135,-17130,-16193,-16188
MesoMazePath,-17156,-17154,-16190,-16188
MesoMazeStairTurn,-17153,-17148,-16196,-16191
MesoMazeCorridorCollapse,-17159,-17157,-16202,-16197
MesoMazeStorage,-17150,-17145,-16202,-16197
MesoMazeStairTurn,-17144,-17139,-16187,-16182
MesoMazeSpiderTurn,-17147,-17142,-16181,-16176
MesoMazeSpiderTurn,-17159,-17154,-16208,-16203
MesoMazePath,-17159,-17157,-16190,-16188
MesoMazeStorage,-17156,-17151,-16202,-16197
MesoMazePath,-17141,-17139,-16178,-16176
MesoMazeStairCorridor,-17165,-17160,-16208,-16206
MesoMazeStorage,-17132,-17127,-16187,-16182
MesoMazePath,-17147,-17145,-16184,-16182
MesoMazePath,-17141,-17139,-16190,-16188
MesoMazeSpiderTurn,-17159,-17154,-16178,-16173
MesoMazePath,-17156,-17154,-16193,-16191
MesoMazePath,-17153,-17151,-16181,-16179
MesoMazeStorage,-17168,-17163,-16193,-16188
MesoMazeStairCorridor,-17138,-17133,-16178,-16176
MesoMazePath,-17156,-17154,-16205,-16203
MesoMazeZombieTable,-17153,-17148,-16175,-16170
MesoMazePath,-17153,-17151,-16178,-16176
MesoMazePath,-17132,-17130,-16178,-16176
MesoMazePath,-17132,-17130,-16181,-16179
MesoMazePath,-17162,-17160,-16190,-16188
MesoMazeStairCorridor,-17159,-17154,-16172,-16170
MesoMazePath,-17147,-17145,-16196,-16194
MesoMazeCorridorCollapse,-17141,-17136,-16181,-16179
MesoMazePath,-17162,-17160,-16193,-16191
MesoMazePath,-17144,-17142,-16181,-16179
MesoMazeSpiderTurn,-17168,-17163,-16196,-16191
MesoMazePath,-17159,-17157,-16196,-16194
MesoMazePath,-17135,-17133,-16187,-16185
MesoMazePath,-17129,-17127,-16181,-16179
MesoMazePath,-17153,-17151,-16184,-16182
MesoMazePath,-17147,-17145,-16187,-16185
MesoMazePath,-17162,-17160,-16196,-16194
MesoMazePath,-17129,-17127,-16190,-16188
MesoMazePath,-17153,-17151,-16205,-16203
MesoMazeZombieTable,-17174,-17169,-16199,-16194
