StoneMazePath,-18028,-18026,14339,14341
StoneMazePath,-18019,-18017,14336,14338
StoneMazePathBig,-18031,-18023,14342,14350
StoneMazePath,-18022,-18020,14345,14347
StoneMazePath,-18016,-18014,14336,14338
StoneMazePath,-18022,-18020,14342,14344
StoneMazePath,-18028,-18026,14336,14338
StoneMazePath,-18022,-18020,14348,14350
StoneMazePath,-18019,-18017,14342,14344
StoneMazeShootingRange,-18019,-18014,14348,14356
StoneMazePathBig,-18013,-18005,14345,14353
StoneMazePath,-18031,-18029,14339,14341
StoneMazeStudy,-18046,-18032,14336,14344
StoneMazePath,-18010,-18008,14354,14356
StoneMazePath,-18031,-18029,14336,14338
StoneMazeEndChest,-18019,-18017,14339,14341
StoneMazePath,-18019,-18017,14345,14347
StoneMazePath,-18016,-18014,14339,14341
StoneMazePath,-18010,-18008,14342,14344
StoneMazePath,-18007,-18005,14342,14344
StoneMazePath,-18004,-18002,14342,14344
StoneMazePath,-18013,-18011,14339,14341
StoneMazePath,-18004,-18002,14345,14347
StoneMazeEndChest,-18040,-18038,14336,14338
StoneMazePath,-18016,-18014,14342,14344
StoneMazePath,-18010,-18008,14339,14341
StoneMazePath,-18007,-18005,14339,14341
StoneMazePath,-18004,-18002,14339,14341
StoneMazePath,-18007,-18005,14336,14338
StoneMazePath,-18007,-18005,14354,14356
StoneMazePath,-18001,-17999,14339,14341
StoneMazePath,-18016,-18014,14345,14347
StoneMazeEndChest,-18013,-18011,14342,14344
StoneMazePath,-18001,-17999,14345,14347
StoneMazePath,-18004,-18002,14336,14338
StoneMazeEndChest,-18001,-17999,14336,14338
StoneMazePath,-18001,-17999,14348,14350
StoneMazePath,-18004,-18002,14354,14356
StoneMazePath,-18001,-17999,14342,14344
StoneMazeEndChest,-18004,-18002,14348,14350
StoneMazePagoda,-18046,-17999,14315,14362
